,State,Asian alone,Proportion of Asian Population,AAHC number 2020,AAHC rate per Asian capita in %
0,Arkansas,51839,0.01721354371,1,0.0019290495572831267
1,Arizona,257430,0.03599663399,4,0.001553820456046304
2,California,6085947,0.1539256582,94,0.001544541876555941
3,Colorado,199827,0.03460978497,7,0.003503030121054712
4,Connecticut,172455,0.04782520194,3,0.0017395842393667911
5,District of Columbia,33545,0.04864802152,1,0.002981070204203309
6,Florida,643682,0.02988561665,3,0.00046606864880484463
7,Montana,8300,0.007655237612,2,0.024096385542168672
8,New Mexico,37469,0.01769473942,1,0.0026688729349595664
9,Texas,1585480,0.05439878293,12,0.0007568685823851452
10,Washington,730596,0.09481756733,26,0.0035587383451319197
11,Hawaii,541902,0.3723718813,4,0.0007381408446545685
12,Idaho,26836,0.01459187236,1,0.003726337755254136
13,Illinois,754878,0.05891727053,3,0.00039741521146463403
14,Indiana,167959,0.02475253215,1,0.0005953833971385873
15,Kansas,86273,0.02936573311,2,0.002318222387073592
16,Kentucky,74426,0.0165176895,2,0.002687232956224975
17,Louisiana,86438,0.0185578595,1,0.0011568985862699275
18,Massachusetts,507934,0.07225320014,13,0.0025593876369764575
19,Maryland,420944,0.06814452576,1,0.00023756129081302978
20,Maine,16798,0.01233008333,3,0.017859268960590546
21,Michigan,334300,0.03317346627,2,0.0005982650314089142
22,Minnesota,299190,0.05242974057,9,0.0030081219292088643
23,Missouri,133377,0.02167000573,2,0.0014995089108317027
24,Mississippi,32709,0.01104556511,2,0.00611452505426641
25,Nebraska,52951,0.02699510172,3,0.005665615380257219
26,North Carolina,343051,0.03286121753,2,0.0005830036933283972
27,New Hampshire,35871,0.02604010514,2,0.005575534554375401
28,New Jersey,950090,0.1022812589,50,0.005262659327011125
29,Nevada,272703,0.08783797277,7,0.002566895120332376
30,New York,1933127,0.09569343955,30,0.001551889762028051
31,Ohio,298509,0.02529855634,5,0.0016749913737944251
32,Oregon,194538,0.04591131619,3,0.0015421151651605343
33,Pennsylvania,510501,0.03926115345,8,0.0015670880174573603
34,Tennessee,135615,0.01962351899,3,0.002212144674261697
35,Utah,80438,0.0245866263,1,0.001243193515502623
36,Virginia,615436,0.07130204823,5,0.0008124321619144802
37,Vermont,11549,0.01795896914,1,0.008658758334054896
38,Wisconsin,175702,0.02981174193,3,0.0017074364549066034
