,Asian alone,AAHC rate per capita in %
0,51839,3.3205778868107974e-05
1,257430,5.593230624839369e-05
2,6085947,0.00023774462499237761
3,199827,0.00012123911922204669
4,172455,8.319596754691698e-05
5,33545,0.0001450231674510003
6,643682,1.3928748970375268e-05
7,8300,0.0001844635569185363
8,37469,4.722501112149012e-05
9,1585480,4.11727297228166e-05
10,730596,0.0003374309126429004
11,541902,0.00027486289495221163
12,26836,5.4374244877674255e-05
13,754878,2.3414619526481466e-05
14,167959,1.4737246681466793e-05
15,86273,6.807629991694691e-05
16,74426,4.4386879593487197e-05
17,86438,2.146956142194623e-05
18,507934,0.0001849239471817377
19,420944,1.61885015016454e-05
20,16798,0.00022020627455758725
21,334300,1.984652483876931e-05
22,299190,0.000157715052359645
23,133377,3.2494366695353774e-05
24,32709,6.75383845966557e-05
25,52951,0.0001529438634843467
26,343051,1.9158211190157893e-05
27,35871,0.0001451875060343557
28,950090,0.0005382714209956427
29,272703,0.00022547086368869047
30,1933127,0.0001485056691296662
31,298509,4.2374863637688814e-05
32,194538,7.080053695127224e-05
33,510501,6.152568312735048e-05
34,135615,4.341006303141152e-05
35,80438,3.0565934388387874e-05
36,615436,5.7928077194492245e-05
37,11549,0.0001555023737437352
38,175702,5.0901654948540124e-05
