,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,AGENCY_TYPE_NAME,STATE_ABBR,State,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS,Total,Asian alone,Proportion of Asian Population,AAHC number 2020,AAHC rate per Asian capita in %,AAHC rate per capita in %
0,1352369,2020,AR0660100,Fort Smith,City,AR,Arkansas,West South Central,South,3,"Cities from 50,000 thru 99,999",05-APR-20,0.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Asian,Business,S,S,3011524,51839,0.01721354371,1,0.0019290495572831267,3.3205778868107974e-05
1,1348767,2020,AZ0071700,Mesa,City,AZ,Arizona,Mountain,West,1B,"Cities from 500,000 thru 999,999",08-SEP-20,1.0,0.0,0,,,Unknown,Unknown,1,Intimidation,1.0,Restaurant,Anti-Asian,Individual,S,S,7151502,257430,0.03599663399,4,0.001553820456046304,5.593230624839369e-05
2,1253642,2020,AZ0072300,Phoenix,City,AZ,Arizona,Mountain,West,1A,"Cities 1,000,000 or over",08-APR-20,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Aggravated Assault,1.0,Shelter-Mission/Homeless,Anti-Asian,Individual,S,S,7151502,257430,0.03599663399,4,0.001553820456046304,5.593230624839369e-05
3,1253726,2020,AZ0072300,Phoenix,City,AZ,Arizona,Mountain,West,1A,"Cities 1,000,000 or over",19-MAR-20,2.0,2.0,2,2.0,0.0,Multiple,Hispanic or Latino,4,Intimidation,4.0,Department/Discount Store,Anti-Asian,Individual,S,S,7151502,257430,0.03599663399,4,0.001553820456046304,5.593230624839369e-05
4,1253757,2020,AZ0072300,Phoenix,City,AZ,Arizona,Mountain,West,1A,"Cities 1,000,000 or over",01-DEC-20,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Intimidation,1.0,Other/Unknown,Anti-Asian,Individual,S,S,7151502,257430,0.03599663399,4,0.001553820456046304,5.593230624839369e-05
5,1091929,2020,CA0010100,Alameda,City,CA,California,Pacific,West,3,"Cities from 50,000 thru 99,999",17-AUG-20,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
6,1092047,2020,CA0011200,San Leandro,City,CA,California,Pacific,West,3,"Cities from 50,000 thru 99,999",21-MAY-20,,,1,1.0,0.0,Unknown,Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,,Park/Playground,Anti-Asian,Government,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
7,924807,2020,CA0011400,East Bay Regional Park District,Other,CA,California,Pacific,West,7,"Cities under 2,500",20-MAY-20,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Intimidation,1.0,Park/Playground,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
8,1262573,2020,CA0070500,El Cerrito,City,CA,California,Pacific,West,4,"Cities from 25,000 thru 49,999",12-OCT-20,1.0,0.0,1,1.0,0.0,Unknown,Unknown,1,Robbery,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
9,1346453,2020,CA0071000,Richmond,City,CA,California,Pacific,West,2,"Cities from 100,000 thru 249,999",10-DEC-20,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
10,1262437,2020,CA0071100,San Pablo,City,CA,California,Pacific,West,4,"Cities from 25,000 thru 49,999",21-MAR-20,2.0,0.0,1,1.0,0.0,Black or African American,Not Hispanic or Latino,2,Intimidation,2.0,Convenience Store,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
11,1262659,2020,CA0071200,Walnut Creek,City,CA,California,Pacific,West,3,"Cities from 50,000 thru 99,999",08-JUL-20,1.0,0.0,1,1.0,0.0,Unknown,Unknown,1,Simple Assault,1.0,Bank/Savings and Loan,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
12,1092063,2020,CA0100100,Clovis,City,CA,California,Pacific,West,2,"Cities from 100,000 thru 249,999",03-JUN-20,1.0,0.0,1,1.0,0.0,Unknown,Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
13,908285,2020,CA0190000,Los Angeles,County,CA,California,Pacific,West,9A,"MSA counties 100,000 or over",20-MAR-20,1.0,0.0,0,0.0,0.0,Unknown,Unknown,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
14,1346232,2020,CA0190000,Los Angeles,County,CA,California,Pacific,West,9A,"MSA counties 100,000 or over",14-JUL-20,2.0,0.0,1,1.0,0.0,Unknown,Hispanic or Latino,2,Aggravated Assault;Intimidation,2.0,Parking/Drop Lot/Garage,Anti-Asian,Individual,M,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
15,1092057,2020,CA0190200,Arcadia,City,CA,California,Pacific,West,3,"Cities from 50,000 thru 99,999",11-JUL-20,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
16,1262555,2020,CA0191R0X,Santa Clarita,City,CA,California,Pacific,West,2,"Cities from 100,000 thru 249,999",20-AUG-20,1.0,0.0,2,2.0,0.0,Unknown,Hispanic or Latino,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
17,1262618,2020,CA0193600,La Mirada,City,CA,California,Pacific,West,4,"Cities from 25,000 thru 49,999",21-OCT-20,1.0,0.0,1,1.0,0.0,White,Unknown,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
18,908206,2020,CA0194200,Los Angeles,City,CA,California,Pacific,West,1A,"Cities 1,000,000 or over",21-FEB-20,1.0,0.0,1,1.0,0.0,White,Unknown,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
19,908232,2020,CA0194200,Los Angeles,City,CA,California,Pacific,West,1A,"Cities 1,000,000 or over",04-MAR-20,1.0,0.0,1,1.0,0.0,White,Hispanic or Latino,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
20,908330,2020,CA0194200,Los Angeles,City,CA,California,Pacific,West,1A,"Cities 1,000,000 or over",21-APR-20,1.0,0.0,1,1.0,0.0,White,Unknown,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
21,908358,2020,CA0194200,Los Angeles,City,CA,California,Pacific,West,1A,"Cities 1,000,000 or over",13-APR-20,1.0,0.0,1,1.0,0.0,Unknown,Hispanic or Latino,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
22,908388,2020,CA0194200,Los Angeles,City,CA,California,Pacific,West,1A,"Cities 1,000,000 or over",06-APR-20,1.0,0.0,1,1.0,0.0,Unknown,Hispanic or Latino,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
23,929799,2020,CA0194200,Los Angeles,City,CA,California,Pacific,West,1A,"Cities 1,000,000 or over",29-APR-20,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S,39538223,6085947,0.1539256582,94,0.001544541876555941,0.00023774462499237761
