State,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Bachelor degree or higher
Alabama,34996,885357,920353
Alaska,3121,146157,149278
Arizona,69933,1492158,1562091
Arkansas,25465,475367,500832
California,427410,9428484,9855894
Colorado,72398,1695602,1768000
Connecticut,56431,994548,1050979
Delaware,8262,228199,236461
District of Columbia,16805,301429,318234
Florida,187532,4753637,4941169
Georgia,103363,2301568,2404931
Hawaii,9786,335209,344995
Idaho,12857,336655,349512
Illinois,171311,3108972,3280283
Indiana,71209,1212826,1284035
Iowa,31429,622253,653682
Kansas,31534,652489,684023
Kentucky,40426,765923,806349
Louisiana,36144,784275,820419
Maine,13681,328999,342680
Maryland,84975,1710230,1795205
Massachusetts,134736,2181743,2316479
Michigan,110041,2070795,2180836
Minnesota,74069,1433226,1507295
Mississippi,20263,441751,462014
Missouri,65355,1271281,1336636
Montana,9505,249148,258653
Nebraska,26974,422587,449561
Nevada,16539,548919,565458
New Hampshire,15431,368237,383668
New Jersey,140579,2551765,2692344
New Mexico,15118,394598,409716
New York,324680,5166218,5490898
North Carolina,108514,2321185,2429699
North Dakota,10342,153397,163739
Ohio,108016,2356585,2464601
Oklahoma,32682,686509,719191
Oregon,39188,1032316,1071504
Pennsylvania,153802,2917402,3071204
Rhode Island,13633,260275,273908
South Carolina,44576,1054559,1099135
South Dakota,8527,174784,183311
Tennessee,71477,1348224,1419701
Texas,267539,5776533,6044072
Utah,25653,664661,690314
Vermont,7830,172272,180102
Virginia,105794,2325070,2430864
Washington,77397,1955632,2033029
West Virginia,15189,269706,284895
Wisconsin,64092,1258379,1322471
Wyoming,4870,113557,118427
